review_posted_date,review_header,review_rating,review_author
27 April 2019,🌟🌟🌟,3.0 ,JLG
09 June 2019,Nice,5.0 ,Namrata
19 August 2019,Amazing product and worthy.. Loved it,5.0 ,Sanju
09 June 2020,Good Product,5.0 ,K.A. Raghavan
05 March 2020,"Healthy, tasty and stomach filling breakfast",4.0 ,paridhi j.
09 August 2020,good,3.0 ,vidyadhar jadhav
07 October 2019,Good,4.0 ,Amazon Customer
30 May 2020,Yummy and healthy treat,5.0 ,Chakravarty D
13 July 2020,Not worth the cost paid.,4.0 ,S Krishna Pillai
13 August 2020,Excellent,4.0 ,sai Siva panda
07 June 2019,Good musli with lots of fruit chunks and nuts,5.0 ,amar maske
02 September 2020,great breakfast option,5.0 ,Vaishnavi patil
10 October 2019,Superb,5.0 ,Amazon Customer
03 June 2019,One of the best muesli,5.0 ,pr@rmgr
13 November 2019,Loveeeee it,5.0 ,Zoi
05 June 2020,Good product,5.0 ,RAMIZ RAJA
01 September 2019,Perfect breakfast,5.0 ,Prakash Nema
05 December 2019,Goid,5.0 ,KUNAL
12 February 2020,Good buy,4.0 ,sumathi
14 March 2019,Just Okay,2.0 ,Amazon Customer
14 July 2020,Good product at reasonable price,5.0 ,KISHWER JAWED
23 August 2019,Bad test,1.0 ,Neha Sharma
06 September 2019,GOOD,5.0 ,Bagrrys India Limited
14 August 2020,Poor packaging but quality no compromise,5.0 ,pooja desai
14 August 2019,Great food for breakfast.,4.0 ,Priyankar
05 October 2019,Like it,5.0 ,Amazon Customer
30 May 2020,Amazing buy,5.0 ,Suraj Mishra
26 May 2020,Very tasty delicious product,4.0 ,Shruti
05 September 2020,Healthy cereal,4.0 ,Siddhaarth
15 November 2019,Not good as they presented,2.0 ,Nalini
01 October 2019,Good purchase,5.0 ,Kindle Customer
14 November 2019,Healthy breakfast,4.0 ,daminingutetamin18
29 August 2020,Pls make packets only,4.0 ,Junaid
29 February 2020,Muesli yoga bar,5.0 ,Shruthi Manamohana
25 January 2020,Good breakfast option,4.0 ,Anu
29 May 2019,Taking too much time,4.0 ,Suss
29 August 2019,Amazing,5.0 ,A K
08 August 2020,Good,5.0 ,Sagarika Das
07 September 2020,Not as good as Kelloggs,3.0 ,sanoj
03 February 2019,Not only this museli is yum but also healthy with 100% wheat I loved it,5.0 ,JEDx
06 September 2019,Good,5.0 ,Honey
19 July 2019,Nice and very smooth,5.0 ,Debarati Gangopadhyay
10 August 2020,Chocolate flavor much better,3.0 ,joydeep mukherjee
08 October 2019,👍,4.0 ,honey gupta
28 December 2019,Healthy breakfast!,4.0 ,Reader
13 August 2020,Good product.,5.0 ,Sreecharan
19 June 2020,Not upto the mark,2.0 ,Abhilash Phukan
29 January 2020,Decent,4.0 ,Tarannum Singhal
31 August 2020,Tastes good,5.0 ,Pranav
10 September 2019,just okay,3.0 ,Pavan K.
27 July 2019,Purposeful,4.0 ,vineeth r pinglae
18 October 2019,Purchased at 195 /- value for money. 250 is high.,4.0 ,AHMED ADEEL
15 January 2020,Healthy choice,5.0 ,Amazon Customer
01 September 2019,Never judge a product from its description.,3.0 ,Sanjib G.
04 October 2019,Good product,5.0 ,deepz
14 July 2020,Great product,4.0 ,Amazon Customer
26 July 2019,Not worth the taste,2.0 ,Saurabh Behwal
08 July 2020,Yummy breakfast option !! ♥️,5.0 ,Upasana Chakraborty
21 June 2019,Good product,4.0 ,Rahul Gupta
11 June 2020,Expensive but worthy,5.0 ,Amazon Customer
29 October 2019,Best for breakfast,5.0 ,Tooba Saleem
14 May 2019,Tastes yuck,3.0 ,pallavi
21 June 2019,Good Product with delicious flavor,5.0 ,Ajay M.
25 May 2019,Delicious,4.0 ,Monica
04 March 2020,"Using it as a munching snack , working out great!",5.0 ,avichal
27 February 2020,Good product more fruits and seeds.,5.0 ,Rohit Biswas
07 September 2019,superb,5.0 ,Lavesh Dixit
29 June 2020,Best,5.0 ,AMALU ANTONY
15 February 2019,Go for it!,5.0 ,Jay
19 October 2019,Good product.,5.0 ,Gourab De
26 July 2020,awesome taste,5.0 ,harsh kumar
22 January 2020,Good,4.0 ,Arun
30 September 2019,Boxes were all torn up,3.0 ,Bhavleen s.
07 March 2019,Good to eat,5.0 ,pramod kumar
15 June 2020,Amazing Product!!! Must buy,5.0 ,Kaur B
21 January 2020,"Good taste, value for money",4.0 ,Deepak agarwal
27 July 2020,Product is good in all aspects,4.0 ,Manoj Kumar
20 March 2019,Good,4.0 ,Arun
24 July 2020,One of the best mueslis,5.0 ,Lakshmi
29 December 2019,Superb,5.0 ,SRUJAN AY.
01 June 2020,So good!,5.0 ,Thelma
27 July 2020,Definitely a nutrition blast,5.0 ,Abhilasha poswal
14 March 2019,Its amazing,5.0 ,Akshita Dhiman
30 April 2020,Yoga bar,4.0 ,Soumya Gowda
01 March 2020,Very good product,5.0 ,Hanna
02 March 2019,best product,2.0 ,Hari Santhosh
07 October 2019,Awesome,5.0 ,Amazon Customer
18 July 2019,Tastes very fresh much better than Kellogg's fruit and nut,5.0 ,suvidha
05 July 2019,Awesome taste,5.0 ,Mannu Mehta
08 August 2020,Superb taste!,5.0 ,NIKHIL K.
30 June 2020,Yogabar keep up the good work!,5.0 ,Debarpita Majumdar
28 October 2019,Yoga mix,4.0 ,Manish
26 February 2020,Awesome product,5.0 ,Preman Supplyco
04 November 2019,Good breakfast,5.0 ,B. VENKATESWARA REDDY
05 November 2019,Good one,5.0 ,Chethan T
05 November 2019,Breakfast cereal competition to the great K,4.0 ,pradeep mitra
25 January 2020,fruit and nut flavor,5.0 ,Vishal Pratap Singh
27 July 2020,Good product,5.0 ,Sayanti
14 June 2020,Super,5.0 ,Loki
13 July 2020,Good one,4.0 ,Varsha
08 October 2019,Good,5.0 ,Shivam
15 October 2019,Healthy and tastes great,5.0 ,Raksha
19 July 2019,Ok,5.0 ,Amazon Customer
22 January 2020,Awesome,5.0 ,phal
10 September 2019,Yogabar wholegrain .....,5.0 ,Anita
18 October 2019,Yummy 😋,5.0 ,Watts dee
27 August 2019,Love this Muesli,5.0 ,Bratati
10 March 2020,Good breakfast option,5.0 ,Alok Priyadarshi
24 September 2019,Yummy 😋,5.0 ,Amazon Customer
14 August 2019,Good product,4.0 ,Amazon Customer
03 February 2020,Yummy,5.0 ,Madhulika Sachan
03 December 2019,😋,5.0 ,Zuzana
14 August 2019,😀,5.0 ,Aryan Dev
06 March 2020,Worth for money you invest,5.0 ,Amazon Customer
04 August 2019,Good quality & taste!,5.0 ,Vijuraj
18 September 2020,Healthy food,5.0 ,Manoj Rawat
10 January 2020,Healthy Product,4.0 ,Saimani A.
15 October 2019,Great cereal,5.0 ,Sudipa
25 October 2019,Awesome,5.0 ,RambaSamba
08 August 2020,Fruits and seeds filled!,5.0 ,sreeranjani
04 June 2020,Great,5.0 ,sridhar p.
25 June 2019,Good product,5.0 ,JANEY
03 March 2020,Taste and health at best,5.0 ,Aditya
21 October 2019,"OPEN your package first, check all your contents and then only give money to the delivery guy.",4.0 ,qwerty
13 August 2019,Nice product,5.0 ,priya vijayvargiya
31 October 2019,Well,5.0 ,Ankush otawat
11 August 2020,Good,5.0 ,Amazon Customer
08 July 2020,Not as shown in picture,2.0 ,SAJJAL
03 November 2019,Improve my health,5.0 ,CV
02 August 2020,Ultimate taste,5.0 ,Sapna Khanna
11 August 2019,healthy,5.0 ,Gopendra
08 June 2020,Happy to use.,4.0 ,Anoop C.
23 June 2020,Average,3.0 ,Amazon Customer
03 July 2019,Try it,4.0 ,Aditya sonkar
28 June 2019,Feedback,5.0 ,Anthony
09 April 2019,Very good,5.0 ,anita garasiya
31 August 2019,Great product,5.0 ,prabhat das
30 May 2020,Healthy stuff,5.0 ,Rk
30 July 2019,Tastes great with natural ingredients,5.0 ,yellow
22 June 2020,Wholesome,5.0 ,Stanley
19 July 2019,Good,5.0 ,SM
29 May 2020,Loved it,4.0 ,Dhanya V S
17 January 2020,Its good,3.0 ,Marjan
09 November 2019,Expensive,3.0 ,Shiba arora
19 July 2019,Good quality product,4.0 ,Dhruti C.
22 November 2019,I like it 😊,5.0 ,NUPUR
21 July 2020,phani,5.0 ,phani
12 August 2019,Nice,5.0 ,Jyoti Singh
01 August 2020,Love the smell!,5.0 ,Amazon Customer
20 January 2020,Nice,5.0 ,Komal
28 March 2019,Perfect Morning Cereal,4.0 ,Anisha
02 September 2019,Good,5.0 ,Bharathi G
28 July 2019,Package leaked,4.0 ,Amazon Customer
11 August 2019,Good one,4.0 ,Krishnendu Mistry
12 August 2020,Awesome snacks,5.0 ,sneha
08 September 2020,Extremely grateful,5.0 ,Sundar Srinivasan
10 September 2019,Tasty food for healthy tummy,5.0 ,Jubair Alam Sarkar
09 February 2020,Very very tasty,5.0 ,Mahesh kanta Bagai
10 July 2019,Value for money!,5.0 ,Poorwa
31 May 2019,Thanq,5.0 ,Nidhi Verma
20 July 2019,Great product to start a day,5.0 ,Mahesh Gupta
29 November 2019,Testy and healthy breakfast,4.0 ,K. Kathir
14 August 2020,Loved it,5.0 ,Masood Ali
22 June 2020,Soooper combination of nutrients,5.0 ,shajila
15 April 2019,Very nice food,5.0 ,शंभूराजे
23 August 2020,Very healthy and tasty,5.0 ,Saurav
16 July 2019,Best Muesli,5.0 ,pavan
12 August 2019,Good product,5.0 ,rahul
17 March 2019,Healthy and tasty,5.0 ,Amaaazon customer
25 May 2020,Review,5.0 ,Sushsmitha
04 November 2019,Excellent,5.0 ,Kcs
25 May 2020,Best alternative of cornflakes...,5.0 ,Chandreshmangaroliya
05 July 2020,Healthy and tasty,5.0 ,raj
08 October 2019,Nice product.,5.0 ,Amazon Customer
26 November 2019,Good for health,5.0 ,PU
06 August 2019,A must try,5.0 ,K.Nikitha
24 August 2020,Go for it!,4.0 ,Kindle Customer
31 October 2019,Nice,5.0 ,Suman k.
02 July 2020,Good.,4.0 ,Arita Mondal
22 September 2019,Yogabar is for all.,5.0 ,Amazon Customer
31 October 2019,Best,4.0 ,indrajit.gill
08 November 2019,Loved it,5.0 ,Arun K.
13 June 2020,It adds flavour to morning breakfast or in between munching,5.0 ,meenu
07 September 2020,...,5.0 ,Ambika Prasanna Dhal
13 December 2019,Healthy,5.0 ,satpal
29 August 2020,Tasty n healthy,5.0 ,Ranvir
07 March 2020,Love it,5.0 ,Dipika Shroff
03 December 2019,Excellent,5.0 ,Emily
04 June 2020,Nice,5.0 ,Rijisha Mitra
22 June 2020,The most tasty muslie I've ever had.,4.0 ,apoorva sood
27 May 2019,Dub dub,5.0 ,sakshay
26 August 2019,Best option among available miseli in market,4.0 ,shikha
20 October 2019,Very helpful for our helarh,5.0 ,VENKAT INTI
05 July 2020,It's tasty,5.0 ,Sushma
06 March 2020,Very good,5.0 ,chaitanya
06 October 2019,Not satisfactory,2.0 ,Abilash
30 November 2019,"NO COMMENTS, ALL NUTRIENTS IN ONE PACK ,",5.0 ,ashwitha
30 June 2020,Good product,4.0 ,Kunal
30 July 2020,Filled with low quality ingredients,1.0 ,Dm
09 May 2019,Must have breakfast muesli...,5.0 ,anvi
22 October 2019,Yum yum,5.0 ,pankaj
30 January 2020,Good,5.0 ,Pramod K
20 May 2020,Taste is just ok.,2.0 ,ROHIT K.
21 August 2019,Good taste,4.0 ,Aditya kumar Singh
12 June 2020,Too good,5.0 ,Kindle Customer
25 May 2020,good,5.0 ,Navi
04 November 2019,Good for children,2.0 ,Deepa Saji
22 August 2019,good combination and taste,4.0 ,M.Ashraf Khan
07 December 2019,Superb,5.0 ,Dinesh
06 October 2019,Good,4.0 ,Akash deoriya
06 February 2020,Mouthwatering,5.0 ,Shazia Iqbal
07 July 2020,Very NIce flavour and taste,4.0 ,Amazon Customer
19 May 2020,Nice taste,4.0 ,PRASHANTH S.
11 October 2019,Good,5.0 ,Amazon Customer
17 January 2020,A good breakfast,5.0 ,PJ
09 March 2020,good for health..,4.0 ,Tanmoy Panja
01 November 2019,Loved it,5.0 ,jackfruit
16 March 2019,Great Taste,5.0 ,Ravi Sharma
29 July 2019,Taste could have been better,3.0 ,Amazon Customer
06 July 2019,Highly recommended,5.0 ,preeti
15 July 2020,Good product,5.0 ,Amazon Customer
08 December 2019,A healthy treat,5.0 ,gazala hitawala
02 November 2019,Okay,5.0 ,arnab das
19 October 2019,Good One,4.0 ,Amit Mishra
25 June 2019,Ok,5.0 ,Customer
09 April 2019,Health y,5.0 ,Ajitesh
05 October 2019,Well price pack,4.0 ,Naveen G.
04 February 2019,Good,4.0 ,santhosh
29 July 2020,Average,2.0 ,venkat r madepalli
27 October 2019,Very nice product.good for health,5.0 ,Shyamali pramanik
02 March 2020,Yogabar Review,4.0 ,Joy M.
20 August 2019,"Test good,",5.0 ,Saloni verma
19 February 2019,"Taste, quality with rich quantity",4.0 ,sameer Khan
20 June 2020,Value for money,5.0 ,Swapnil
24 July 2019,Simply awesome .......,5.0 ,Nawab
01 August 2019,Good,5.0 ,Nick
16 September 2019,Good,3.0 ,priyu
14 September 2020,Awesome,5.0 ,Dr Luna Saikia
11 July 2019,Yogabar multigrain,5.0 ,sulekha
09 July 2020,Good product,4.0 ,Amazon Customer
12 July 2019,Worth every penny,5.0 ,Neha
06 November 2019,Protein nd nutrition,5.0 ,Surbhi
05 August 2019,Product is good.,5.0 ,BVR
21 November 2019,Good for health,5.0 ,Amazon Customer
29 December 2019,good product,5.0 ,Madhur
19 December 2019,Value for money,5.0 ,Akanksha Pandey
15 July 2019,Yogabar Muesli,3.0 ,KB Jashi
13 August 2020,ST,4.0 ,S T
17 January 2020,Taste is so delicious,4.0 ,Hasmukh Ranmal
16 August 2019,BEST,4.0 ,John
26 October 2019,Good,5.0 ,Ajung
19 July 2020,Good,4.0 ,Megha Nandeshwar
04 March 2020,V.good,5.0 ,Latila
08 July 2020,Its yummy,5.0 ,Ruchi
06 December 2019,Good,5.0 ,Raj Ceramics
19 August 2019,👍,4.0 ,Sneha ghosh
20 August 2019,Best cereal with zero Processed Sugar,5.0 ,Swatantra kumar
07 October 2019,Great product,5.0 ,A. Manoj Kumar
01 July 2019,"Nice combination of whole grains, dried fruits and seeds",4.0 ,Amazon Customer
17 May 2020,Nice healthy ond,5.0 ,Ankita Kar
12 March 2019,Good taste!,4.0 ,Shanu Maurya
15 September 2020,Good product,4.0 ,Ratna Barman
03 August 2019,Good,5.0 ,Rahul Makhasana
04 November 2019,Must buy,5.0 ,Radhika h
16 August 2019,Best Muesli,5.0 ,Maitreyee
05 September 2019,Awesome,5.0 ,Anushka Sharma
20 July 2020,Good but costly,3.0 ,Vishal
05 March 2020,Delicious,5.0 ,Aleena Xavier
06 January 2020,Healthy breakfast,5.0 ,harpreet singh
23 April 2019,Le skte ho,5.0 ,Shaurya mishra
04 November 2019,👍,4.0 ,Lovely
21 August 2020,Good,4.0 ,sashidhar goud
17 November 2019,Good taste,5.0 ,Gandamalla mamatha
11 November 2019,Awsm,5.0 ,Amazon Customer
03 November 2019,Very good,5.0 ,Amazon Customer
21 August 2020,Worth buying,5.0 ,Nishmitha
15 March 2020,Taste,4.0 ,Arpitha Reddy
01 October 2019,Yoga musseli healthy prodct,4.0 ,lata
19 June 2020,Great taste,5.0 ,NARINDER CHAUHAN
09 August 2019,Very nice kranci osm test,5.0 ,Pinki singh
13 August 2020,Excellent,4.0 ,samira
05 September 2019,Healthy diet.!!,4.0 ,Vidya Seenivasagan
18 May 2020,Best,5.0 ,Shushant
26 October 2019,Best one,5.0 ,abhinandan verma
06 October 2019,Good,5.0 ,Rahul
19 October 2019,The best,4.0 ,Amazon Customer
07 June 2020,Tasty,5.0 ,Vasbhi
14 August 2020,.,5.0 ,sukhdeep singh
06 March 2020,Good,5.0 ,vijay
06 November 2019,Good,5.0 ,Sambhu
09 October 2019,Good,5.0 ,Vamshi
23 June 2020,Vvvv,5.0 ,akshay sharma
11 November 2019,Goid,5.0 ,Rohit Bidlan
18 November 2019,Must for kids,4.0 ,PRABHURAJ
17 July 2019,Worth it,5.0 ,kohsheen
29 May 2019,7007118461,5.0 ,Ali Husain
26 June 2020,Perfect Breakfast,5.0 ,Umang
27 March 2019,Good source,5.0 ,Kalidas Nilapalle
28 May 2020,Happy,4.0 ,Anil Debata
09 July 2019,Muesli,5.0 ,Gourab
24 May 2020,awesome,4.0 ,pranav chaturvedi
09 September 2020,Awesome,5.0 ,Tarun
03 August 2019,Awsm,4.0 ,Priya
31 May 2020,Healthy Food,5.0 ,Manmath Kumar Behera
29 October 2019,Perfect morning breakfast,5.0 ,niraj
18 January 2020,Liked,5.0 ,Ajith
14 August 2019,Good,4.0 ,Suresh
10 October 2019,Good,5.0 ,Arzhan
26 August 2019,Thanks,5.0 ,Joshua
31 July 2019,Good,4.0 ,ADV VARUN AGGARWAL
21 March 2020,Nice.,3.0 ,Ashanand
01 June 2020,Tastes delicious,5.0 ,Amazon Customer
01 June 2019,Best,4.0 ,Anmol raj
16 February 2019,The product,4.0 ,Ranadheep
24 March 2019,Delicious and healthy,5.0 ,mia
06 July 2020,Great Taste with less sugar,5.0 ,Pratham
17 July 2019,Just wow !!! Super delicious,5.0 ,rima
14 September 2020,Flavorless Product,1.0 ,Sarthak Kalamkar
03 May 2019,normal,2.0 ,kanhaiya
29 October 2019,Not up to the mark,1.0 ,Vijay
21 June 2020,Healthy meal for the day.,5.0 ,Hemant lakhani
21 September 2019,Gives rashes and boils in body,1.0 ,Suresh P.
02 February 2020,Make two kilo bags,5.0 ,Amazon Customer
06 February 2019,One of the best breakfast cereal in the market,5.0 ,AmCust
08 April 2019,Super tastey 😋😋😋😋😋😋😋😋,5.0 ,akash
05 August 2020,Healthy snack for breakfast,5.0 ,Neelam
19 September 2019,Bestest of the best,5.0 ,Hasita
23 May 2019,Excellent Mueseli,5.0 ,Ram
19 October 2019,the best,5.0 ,anil s.
16 March 2019,Excellent dietary supplement,5.0 ,Amzn consumer
18 May 2020,Cannot get better!!,5.0 ,PBhullar
19 May 2019,Bad experiance,2.0 ,Viney Sagar
03 June 2020,Museli lovers can go for it!!,5.0 ,Bijal c.
05 July 2019,Thanks Amazon 😍🤗,5.0 ,Farheen ali
01 June 2020,Nice,5.0 ,Devendra
04 July 2019,Way vetter than Kellogg's and other fake nutrition cereal.,5.0 ,Jaideep Singh
23 June 2020,Crunchy and flavorful,5.0 ,sayela
10 August 2019,Natural and healthy product,5.0 ,MOHAMMAD SAIFULLAH
28 October 2019,Good,3.0 ,Satya
02 August 2020,Did not meet expectations,2.0 ,Amit T.
05 October 2019,Food of the gods!,5.0 ,Amazon Customer
18 May 2020,Diabetes,1.0 ,MNR
30 September 2019,Right combination of ingredients and healthy too!,5.0 ,Avinash
12 June 2020,Too good,5.0 ,Purabi c.
30 May 2020,Must try once,5.0 ,Apurva
15 July 2020,Best muesli till date.,5.0 ,Sunny
08 May 2019,Good product,5.0 ,Amazon Customer
10 October 2019,Tasty!!!,5.0 ,Ansh
21 July 2020,Go for it with out any doubt,4.0 ,gontla ranganath
28 June 2020,Good yami testi,5.0 ,Khilendra Kumar sen
26 January 2020,It's very tasty & healthy,5.0 ,Pooja Gi
16 August 2019,Can a diabetic patient or 5 year child consume this product,2.0 ,Deepak maharana
28 December 2019,FLAVOUR AND QUALITY IS AWESOME,5.0 ,Chander marria
06 July 2019,Must try... must buy,5.0 ,Anant k
23 May 2020,Awesome product,4.0 ,Meghali bezbaruah
17 September 2019,Tasty,5.0 ,Bobby Singh
20 October 2019,Good for health,5.0 ,pushpa devi
11 November 2019,My favourite muesli! And it's a bargain on Amazon deals!,5.0 ,Kindle Customer
08 July 2019,Great in taste!,5.0 ,PuneetWasHere
06 October 2019,Great taste and good for health.,5.0 ,Devesh Bapna
05 July 2019,A good breakfast cereal,5.0 ,Ashish Chandan
04 July 2019,Yummy,5.0 ,Precious George
28 January 2020,Tammy and tasty with berry flavour,5.0 ,Amazon Customer
03 October 2019,Breakfast sorted,5.0 ,Reetu
28 September 2019,LOVED IT!!!,5.0 ,muskan garg
30 September 2019,Crunchy Munchy and tasty,5.0 ,Arihant Pandey
26 July 2019,Loving It - Yoga Bar Muesli,5.0 ,Amnish Behal
04 July 2019,Eat healthy stay healthy,5.0 ,Mokshali Morakhiya
03 October 2019,Must give it a try,5.0 ,Swastika nagpal
23 August 2019,Quick and Healthy breakfast,5.0 ,rohit
05 October 2019,Awesome !!,5.0 ,Navdeep vats
02 October 2019,quality,5.0 ,MURALI
16 August 2020,Totally worth it 👌🏻,4.0 ,Siddharth
07 July 2019,Highly recomend it,5.0 ,Irfan
03 July 2019,Best breakfast,5.0 ,Paras Gambhir
05 July 2019,perfect healthy breakfast option,5.0 ,Vinay
11 July 2019,Its delicious and healthy,5.0 ,Deep mantala
18 July 2019,Tasty Muesli,5.0 ,Kitabo Ghanghas ( Kiran Shopaholic )
02 August 2019,Love this granola,4.0 ,Jane
19 July 2020,Great,5.0 ,Anjali
12 August 2019,Excellent,5.0 ,P. Dutt
01 July 2019,Fit n lyt,5.0 ,Fateh
19 June 2020,Yummm!,5.0 ,Manish Choudhary
05 August 2020,Excellent choice,5.0 ,Sheebs
07 August 2019,Recommended product!,5.0 ,MTR
05 August 2019,Loving it,5.0 ,Suchi
29 October 2019,Expensive,5.0 ,Dietitian
14 August 2020,The best muesli in India,5.0 ,Milind Gade
02 August 2020,Perfect choice for breakfast!,5.0 ,Akanksha Sharma
18 July 2020,Good,5.0 ,Jeni
05 September 2019,Good taste,5.0 ,Mohit Patel
01 June 2020,Different taste..,5.0 ,Amina khan
16 June 2020,Good,5.0 ,Ravindra
29 October 2019,Good for health,5.0 ,Adarsh Chandran C S
24 June 2019,Good,5.0 ,Suvangkar g.
07 October 2019,Lovely day start,5.0 ,Mohit
07 June 2019,Good,5.0 ,giby
05 November 2019,Outstanding.,5.0 ,P.P
20 July 2019,Good choice for your family,5.0 ,Gagan Deep
27 August 2019,Ok,3.0 ,Kritika
14 July 2019,Good product,5.0 ,Saikat Chowdhury
11 September 2019,Tasty,5.0 ,Jabbar
